Endpoint,Method,StatusCode,Count,Avg,P90,P95,TPS
draft-order/relationships/account,PUT,204,570,16.19,18,18,0.16
draft-order/store,PUT,204,537,19.79,23.6,24.8,0.15
draft-order/adjustment/discounts,POST,201,376,41.61,140.8,194,0.1
draft-order/billing/credit-cards,POST,201,434,678.32,771.2,935.4,0.12
draft-order/contact-methods,POST,201,627,15.61,17.9,18,0.17
draft-order,GET,200,788,70.57,79.1,84.5,0.22
draft-order,POST,200,1032,377.16,788.6,903.8,0.29
draft-order/bag/items,POST,200,792,46.88,63.1,69,0.22
draft-order?expand=status,GET,200,471,71.97,91.7,101.5,0.13
draft-order?expand=status%2Cbilling%2Cdelivery,GET,200,1619,87.9,113.4,193.4,0.45
draft-order?expand=status%2Cdelivery%2Cbilling&includeServiceLevels=true,GET,200,1433,220.8,280,335,0.4
draft-order?expand=status%2Cdelivery&origin=cart,GET,200,1932,91.74,115.6,180.1,0.54
draft-order?includeServiceLevels=true&expand=status%2Cdelivery%2Cbilling,GET,200,1018,216.17,277.1,322.6,0.28
draft-order?includeServiceLevels=true&isGiftRegistry=false&initGetDraftOrder=true&origin=checkout&expand=status%2Cdelivery,GET,200,535,190.79,278.5,315.5,0.15
Delivery Group,PUT,200,780,116.49,213.9,277.2,0.22
initiate-checkout,POST,200,583,177.49,238,301.7,0.16
Submit Order,POST,400,21,602.43,790,827,0.01
Submit Order,POST,200,449,636.42,930,1098.8,0.12