Endpoint,Count,Avg,P90,P95,TPS
Yoda-PDP,69414,72.35,105.02,124.66,19.28
Yoda-gallery-g,72180,88.07,145.53,189.43,20.05
Yoda-Cart,26841,130.81,213.40,265.56,7.46
/,1412,1.56,3.43,4.15,0.39
/admin/prometheus,720,7.57,9.18,10.00,0.20
/checkout,17,76.8,257.63,312.15,0.00
/checkout/0,3,30.48,31.64,31.72,0.00
/checkout/5,2,33.93,35.99,36.25,0.00
/checkout/a71dc05eff64aadb,3,29.21,29.78,29.88,0.00
/checkout/account-locked,2,29.24,32.30,32.68,0.00
/checkout/bopis,3,130.95,231.60,249.02,0.00
/checkout/oc,2834,143.23,108.44,118.17,0.79
/checkout/payment,976,287.98,435.30,516.30,0.27
/checkout/prqutwwqp%7Bz%7B%7C%7Fz,1,38.22,38.22,38.22,0.00
/checkout/q%7B%7Buu~vy~%7Bzx,1,28.15,28.15,28.15,0.00
/checkout/review,1654,246.47,450.25,550.17,0.46
/checkout/shipping,1855,142.85,195.40,265.72,0.52
/,1414,1.51,3.27,4.30,0.39
/account/dashboard,2060,64.8,78.42,83.92,0.57
/account/dashboard/appointments,135,62.79,79.64,91.06,0.04
/admin/prometheus,720,12.67,14.64,15.93,0.20
/forgotpassword,815,36.57,51.64,55.81,0.23
/sessiontimeout,439,40.56,53.46,59.65,0.12
/signin,9551,50.31,60.25,65.29,2.65
/,708,1.68,3.37,4.37,0.20
/admin/prometheus,360,11.84,13.16,14.46,0.10
/orders,4461,80.77,125.94,152.64,1.24
/orders/curbside,494,42.05,50.03,54.65,0.14
/orders/curbside/status,188,42.17,49.74,56.35,0.05
/orders/orderdetails,2528,59.19,82.62,92.68,0.70
/orders/trackorders,7060,40.53,49.47,54.12,1.96
/,706,1.89,4.61,5.93,0.20
/admin/prometheus,360,10.6,12.25,12.75,0.10
/mylist,189,175.3,298.97,321.01,0.05
/,707,1.81,4.38,5.29,0.20
/admin/prometheus,360,10.43,13.41,14.55,0.10
/rewards,439,57.9,74.13,83.28,0.12
/rewards/dashboard,712,61.48,77.78,84.68,0.20
/,1618,10.66,17.80,90.50,0.45
/admin/prometheus,720,20.42,25.76,28.18,0.20